code,e
HUF,http://www.fao.org/figis/skate/entities/codedentity/a5ca20e4-f503-4a8f-8e18-a54c0df5cd52
SBA,http://www.fao.org/figis/skate/entities/codedentity/ee81b4e7-068d-4cf4-aef9-6bd01bcc200c
LFM,http://www.fao.org/figis/skate/entities/codedentity/98a91848-2709-4024-a47a-a69ccb1b31f9
JDT,http://www.fao.org/figis/skate/entities/codedentity/4491406d-16a4-4629-9d76-2b670bbea1c2
MWO,http://www.fao.org/figis/skate/entities/codedentity/d364c6c7-4775-449d-8b0e-6247444a8495
CNQ,http://www.fao.org/figis/skate/entities/codedentity/5a3a1178-4fbd-4017-9d11-69d4b6320c17
YAA,http://www.fao.org/figis/skate/entities/codedentity/9d7d6c1f-b0a8-426e-b3b0-b104c1c7b9da
IEJ,http://www.fao.org/figis/skate/entities/codedentity/3d80cf80-d1c1-4a62-bd82-d0131d233d4d
NGK,http://www.fao.org/figis/skate/entities/codedentity/3f44cdc6-5f68-4348-8af8-236300eb53e3
RZV,http://www.fao.org/figis/skate/entities/codedentity/1f8b4e43-90df-45e8-aff8-efc8adba4ca0
LEC,http://www.fao.org/figis/skate/entities/codedentity/de0e2ba5-a260-402e-99ed-48a292f77e88
LUL,http://www.fao.org/figis/skate/entities/codedentity/0623f531-5c87-43a2-9bf2-29982fbafd4e
JSS,http://www.fao.org/figis/skate/entities/codedentity/838b50d2-00e8-4574-9785-7a2b841d2230
UMK,http://www.fao.org/figis/skate/entities/codedentity/f1d27e5b-e4d7-45a7-914f-81b7adcc5173
HQZ,http://www.fao.org/figis/skate/entities/codedentity/5dd74e74-5437-4a37-bc49-751ff17d686e
ULN,http://www.fao.org/figis/skate/entities/codedentity/8fce47d8-3098-4442-9217-8b757582492d
MZL,http://www.fao.org/figis/skate/entities/codedentity/5d842ebd-13db-449e-a5d5-3df39099e0c3
DNI,http://www.fao.org/figis/skate/entities/codedentity/a9607947-af86-4ca7-b00e-f090cc12368e
SJU,http://www.fao.org/figis/skate/entities/codedentity/c848e99e-55ef-4416-9bd4-c73447e42211
BLP,http://www.fao.org/figis/skate/entities/codedentity/5e5e5ef1-e48b-49fa-834e-db70d442e22f
ITG,http://www.fao.org/figis/skate/entities/codedentity/b2bdef4b-325c-47db-9bc7-fd77626eb7c2
OGD,http://www.fao.org/figis/skate/entities/codedentity/35d4e725-98e4-40f5-9966-a54777ab99e3
TGX,http://www.fao.org/figis/skate/entities/codedentity/d86d259d-e272-42f8-9d4a-28f4b9f721c3
MEK,http://www.fao.org/figis/skate/entities/codedentity/3ee935f1-665d-4a92-97dc-495f4b59fdfd
KCR,http://www.fao.org/figis/skate/entities/codedentity/14f1be0c-cc4b-453f-9105-59daed8248dd
OAB,http://www.fao.org/figis/skate/entities/codedentity/19142cd5-d98a-4d4c-8f29-5c3278b903d7
IAY,http://www.fao.org/figis/skate/entities/codedentity/6b6dddbb-d460-4d51-af9e-75a5a979736c
DMD,http://www.fao.org/figis/skate/entities/codedentity/7fd22ab6-5542-4c29-8d38-82324c0ee086
SYT,http://www.fao.org/figis/skate/entities/codedentity/645d7cd7-a866-4b95-9a82-06b73f8afcf7
PLQ,http://www.fao.org/figis/skate/entities/codedentity/8f2c7c18-1af5-4bb4-8886-4c7b86a9ff29
KFV,http://www.fao.org/figis/skate/entities/codedentity/37be743f-e863-4bbd-9bdf-a2e5a7ea0a4e
OVC,http://www.fao.org/figis/skate/entities/codedentity/5707f3fb-2f61-4f0d-a10b-aeb312f5a6bd
SYX,http://www.fao.org/figis/skate/entities/codedentity/f19aa250-9879-4b53-89dd-d5d6c3ac6ddc
MTJ,http://www.fao.org/figis/skate/entities/codedentity/7a0ccb08-179a-4b49-bf96-9a46fa3f1b53
KRQ,http://www.fao.org/figis/skate/entities/codedentity/195f938b-511a-4f38-95d2-73c8e2f597be
IPX,http://www.fao.org/figis/skate/entities/codedentity/5776b0e2-63f2-4090-8605-244b389d2571
TIK,http://www.fao.org/figis/skate/entities/codedentity/35b6d554-ee8a-460d-98a6-cfd19e110e24
NJU,http://www.fao.org/figis/skate/entities/codedentity/8a8d02aa-78d2-46b3-a22e-abc7eba97ae4
AFB,http://www.fao.org/figis/skate/entities/codedentity/2252fa3d-b104-4d4f-b313-17c802a71f92
NHM,http://www.fao.org/figis/skate/entities/codedentity/254cd2dc-880d-4ab1-b0a5-318baa4dab39
EMG,http://www.fao.org/figis/skate/entities/codedentity/fe676014-d480-436f-9cad-1648f24beebd
TIS,http://www.fao.org/figis/skate/entities/codedentity/6d3aa47f-3ccd-4ae6-b51d-01f13f9ea7fb
